Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
1320,88.38141025641026,0.1875,Echo 0,1,All
1350,91.58653846153847,0.1875,Echo 0,1,All
1380,90.21434294871794,0.1875,Echo 0,1,All
1410,91.23597756410257,0.1875,Echo 0,1,All
1440,91.27604166666667,0.1875,Echo 0,1,All
1470,90.83533653846153,0.1875,Echo 0,1,All
0,38.53165064102564,0.1875,Echo 0,1,Clique A
30,39.54326923076923,0.1875,Echo 0,1,Clique A
60,43.33934294871795,0.1875,Echo 0,1,Clique A
90,49.63942307692308,0.1875,Echo 0,1,Clique A
120,54.08653846153846,0.1875,Echo 0,1,Clique A
150,57.39182692307692,0.1875,Echo 0,1,Clique A
180,60.22636217948718,0.1875,Echo 0,1,Clique A
210,62.600160256410255,0.1875,Echo 0,1,Clique A
240,64.67347756410257,0.1875,Echo 0,1,Clique A
270,66.41626602564102,0.1875,Echo 0,1,Clique A
300,67.4579326923077,0.1875,Echo 0,1,Clique A
330,68.26923076923077,0.1875,Echo 0,1,Clique A
360,69.03044871794872,0.1875,Echo 0,1,Clique A
390,70.41266025641026,0.1875,Echo 0,1,Clique A
420,71.37419871794872,0.1875,Echo 0,1,Clique A
450,72.67628205128206,0.1875,Echo 0,1,Clique A
480,73.54767628205128,0.1875,Echo 0,1,Clique A
510,73.45753205128206,0.1875,Echo 0,1,Clique A
540,66.015625,0.1875,Echo 0,1,Clique A
570,64.8838141025641,0.1875,Echo 0,1,Clique A
600,68.18910256410257,0.1875,Echo 0,1,Clique A
630,72.16546474358974,0.1875,Echo 0,1,Clique A
660,72.72636217948718,0.1875,Echo 0,1,Clique A
690,70.2724358974359,0.1875,Echo 0,1,Clique A
720,65.56490384615384,0.1875,Echo 0,1,Clique A
750,70.8233173076923,0.1875,Echo 0,1,Clique A
780,69.8818108974359,0.1875,Echo 0,1,Clique A
810,71.41426282051282,0.1875,Echo 0,1,Clique A
840,73.38741987179488,0.1875,Echo 0,1,Clique A
870,68.95032051282051,0.1875,Echo 0,1,Clique A
900,70.06209935897436,0.1875,Echo 0,1,Clique A
930,73.98838141025641,0.1875,Echo 0,1,Clique A
960,74.59935897435898,0.1875,Echo 0,1,Clique A
990,73.5576923076923,0.1875,Echo 0,1,Clique A
1020,72.98677884615384,0.1875,Echo 0,1,Clique A
1050,75.94150641025641,0.1875,Echo 0,1,Clique A
1080,69.87179487179488,0.1875,Echo 0,1,Clique A
1110,76.01161858974359,0.1875,Echo 0,1,Clique A
1140,73.27724358974359,0.1875,Echo 0,1,Clique A
1170,77.60416666666667,0.1875,Echo 0,1,Clique A
1200,72.11538461538461,0.1875,Echo 0,1,Clique A
1230,71.4443108974359,0.1875,Echo 0,1,Clique A
1260,70.79326923076923,0.1875,Echo 0,1,Clique A
1290,71.66466346153847,0.1875,Echo 0,1,Clique A
1320,74.9599358974359,0.1875,Echo 0,1,Clique A
1350,72.2255608974359,0.1875,Echo 0,1,Clique A
1380,69.921875,0.1875,Echo 0,1,Clique A
1410,72.23557692307692,0.1875,Echo 0,1,Clique A
1440,68.75,0.1875,Echo 0,1,Clique A
1470,77.56410256410257,0.1875,Echo 0,1,Clique A
0,33.39342948717949,0.1875,Echo 0,1,Clique B
30,36.798878205128204,0.1875,Echo 0,1,Clique B
60,41.8369391025641,0.1875,Echo 0,1,Clique B
90,48.91826923076923,0.1875,Echo 0,1,Clique B
120,52.43389423076923,0.1875,Echo 0,1,Clique B
150,54.036458333333336,0.1875,Echo 0,1,Clique B
180,55.759214743589745,0.1875,Echo 0,1,Clique B
210,57.08133012820513,0.1875,Echo 0,1,Clique B
240,58.493589743589745,0.1875,Echo 0,1,Clique B
270,59.895833333333336,0.1875,Echo 0,1,Clique B
300,61.3681891025641,0.1875,Echo 0,1,Clique B
330,63.23116987179487,0.1875,Echo 0,1,Clique B
360,64.7235576923077,0.1875,Echo 0,1,Clique B
390,65.24439102564102,0.1875,Echo 0,1,Clique B
420,66.55649038461539,0.1875,Echo 0,1,Clique B
450,68.76001602564102,0.1875,Echo 0,1,Clique B
480,69.140625,0.1875,Echo 0,1,Clique B
510,69.27083333333333,0.1875,Echo 0,1,Clique B
540,71.04366987179488,0.1875,Echo 0,1,Clique B
