Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
390,46.21394230769231,0.125,StateOverride,1,Clique B
420,45.89342948717949,0.125,StateOverride,1,Clique B
450,45.51282051282051,0.125,StateOverride,1,Clique B
480,44.97195512820513,0.125,StateOverride,1,Clique B
510,44.29086538461539,0.125,StateOverride,1,Clique B
540,43.75,0.125,StateOverride,1,Clique B
570,43.048878205128204,0.125,StateOverride,1,Clique B
600,42.578125,0.125,StateOverride,1,Clique B
630,42.24759615384615,0.125,StateOverride,1,Clique B
660,41.99719551282051,0.125,StateOverride,1,Clique B
690,41.666666666666664,0.125,StateOverride,1,Clique B
720,41.4463141025641,0.125,StateOverride,1,Clique B
750,41.16586538461539,0.125,StateOverride,1,Clique B
780,40.885416666666664,0.125,StateOverride,1,Clique B
810,40.524839743589745,0.125,StateOverride,1,Clique B
840,40.17427884615385,0.125,StateOverride,1,Clique B
870,39.953926282051285,0.125,StateOverride,1,Clique B
900,39.563301282051285,0.125,StateOverride,1,Clique B
930,39.20272435897436,0.125,StateOverride,1,Clique B
960,38.84214743589744,0.125,StateOverride,1,Clique B
990,38.561698717948715,0.125,StateOverride,1,Clique B
1020,38.28125,0.125,StateOverride,1,Clique B
1050,37.96073717948718,0.125,StateOverride,1,Clique B
1080,37.90064102564103,0.125,StateOverride,1,Clique B
1110,37.77043269230769,0.125,StateOverride,1,Clique B
1140,37.56009615384615,0.125,StateOverride,1,Clique B
1170,37.399839743589745,0.125,StateOverride,1,Clique B
1200,37.31971153846154,0.125,StateOverride,1,Clique B
1230,37.28966346153846,0.125,StateOverride,1,Clique B
1260,37.239583333333336,0.125,StateOverride,1,Clique B
1290,37.12940705128205,0.125,StateOverride,1,Clique B
1320,37.05929487179487,0.125,StateOverride,1,Clique B
1350,37.009214743589745,0.125,StateOverride,1,Clique B
1380,36.96915064102564,0.125,StateOverride,1,Clique B
1410,36.85897435897436,0.125,StateOverride,1,Clique B
1440,36.818910256410255,0.125,StateOverride,1,Clique B
1470,36.798878205128204,0.125,StateOverride,1,Clique B
