Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
240,94.33092948717949,MOZI,SandTrap,global,True
270,94.30088141025641,MOZI,SandTrap,global,True
300,94.48116987179488,MOZI,SandTrap,global,True
330,94.66145833333333,MOZI,SandTrap,global,True
360,94.68149038461539,MOZI,SandTrap,global,True
390,94.59134615384616,MOZI,SandTrap,global,True
420,94.74158653846153,MOZI,SandTrap,global,True
450,94.83173076923077,MOZI,SandTrap,global,True
480,94.85176282051282,MOZI,SandTrap,global,True
510,94.71153846153847,MOZI,SandTrap,global,True
540,94.94190705128206,MOZI,SandTrap,global,True
570,95.03205128205128,MOZI,SandTrap,global,True
600,95.02203525641026,MOZI,SandTrap,global,True
630,94.98197115384616,MOZI,SandTrap,global,True
660,95.11217948717949,MOZI,SandTrap,global,True
690,95.13221153846153,MOZI,SandTrap,global,True
720,95.16225961538461,MOZI,SandTrap,global,True
750,95.17227564102564,MOZI,SandTrap,global,True
780,95.14222756410257,MOZI,SandTrap,global,True
810,95.16225961538461,MOZI,SandTrap,global,True
840,95.2724358974359,MOZI,SandTrap,global,True
870,95.2323717948718,MOZI,SandTrap,global,True
0,88.25120192307692,MOZI,Echo,global,False
30,92.40785256410257,MOZI,Echo,global,False
60,93.71995192307692,MOZI,Echo,global,False
90,93.65985576923077,MOZI,Echo,global,False
120,94.11057692307692,MOZI,Echo,global,False
150,94.66145833333333,MOZI,Echo,global,False
180,94.97195512820512,MOZI,Echo,global,False
210,94.85176282051282,MOZI,Echo,global,False
240,94.86177884615384,MOZI,Echo,global,False
270,95.0420673076923,MOZI,Echo,global,False
300,95.12219551282051,MOZI,Echo,global,False
330,95.1923076923077,MOZI,Echo,global,False
360,95.17227564102564,MOZI,Echo,global,False
390,95.21233974358974,MOZI,Echo,global,False
420,95.29246794871794,MOZI,Echo,global,False
450,95.4326923076923,MOZI,Echo,global,False
480,95.42267628205128,MOZI,Echo,global,False
510,95.38261217948718,MOZI,Echo,global,False
540,95.47275641025641,MOZI,Echo,global,False
570,95.51282051282051,MOZI,Echo,global,False
600,95.49278846153847,MOZI,Echo,global,False
630,95.51282051282051,MOZI,Echo,global,False
660,95.56290064102564,MOZI,Echo,global,False
690,95.60296474358974,MOZI,Echo,global,False
720,95.56290064102564,MOZI,Echo,global,False
750,95.59294871794872,MOZI,Echo,global,False
780,95.65304487179488,MOZI,Echo,global,False
810,95.65304487179488,MOZI,Echo,global,False
840,95.61298076923077,MOZI,Echo,global,False
870,95.75320512820512,MOZI,Echo,global,False
0,86.95913461538461,MOZI,Echo,global,True
30,91.76682692307692,MOZI,Echo,global,True
60,92.80849358974359,MOZI,Echo,global,True
90,93.81009615384616,MOZI,Echo,global,True
120,93.86017628205128,MOZI,Echo,global,True
150,93.88020833333333,MOZI,Echo,global,True
180,94.21073717948718,MOZI,Echo,global,True
210,94.28084935897436,MOZI,Echo,global,True
240,94.33092948717949,MOZI,Echo,global,True
270,94.30088141025641,MOZI,Echo,global,True
300,94.48116987179488,MOZI,Echo,global,True
330,94.66145833333333,MOZI,Echo,global,True
360,94.68149038461539,MOZI,Echo,global,True
390,94.59134615384616,MOZI,Echo,global,True
420,94.74158653846153,MOZI,Echo,global,True
450,94.83173076923077,MOZI,Echo,global,True
480,94.85176282051282,MOZI,Echo,global,True
510,94.71153846153847,MOZI,Echo,global,True
540,94.94190705128206,MOZI,Echo,global,True
570,95.03205128205128,MOZI,Echo,global,True
600,95.02203525641026,MOZI,Echo,global,True
630,94.98197115384616,MOZI,Echo,global,True
660,95.11217948717949,MOZI,Echo,global,True
690,95.13221153846153,MOZI,Echo,global,True
720,95.16225961538461,MOZI,Echo,global,True
750,95.17227564102564,MOZI,Echo,global,True
780,95.14222756410257,MOZI,Echo,global,True
810,95.16225961538461,MOZI,Echo,global,True
840,95.2724358974359,MOZI,Echo,global,True
870,95.2323717948718,MOZI,Echo,global,True
0,88.25120192307692,MOZI,StateOverride,global,False
30,92.40785256410257,MOZI,StateOverride,global,False
